instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_c,atemp_c,hum_pct,windspeed_kmh,season_lbl,weather_lbl,day_segment,is_peak_hour,casual_share,registered_share
17,2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,17.22,21.21,82.0,19.999499999999998,Spring,Mist,Afternoon,0,44.086021505376344,55.91397849462365
18,2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,18.04,21.97,82.0,19.0012,Spring,Mist,Afternoon,0,22.388059701492537,77.61194029850746
19,2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,17.22,21.21,88.0,16.997899999999998,Spring,Light Precip,Evening,0,25.71428571428571,74.28571428571429
20,2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,17.22,21.21,88.0,16.997899999999998,Spring,Light Precip,Evening,0,16.216216216216218,83.78378378378379
21,2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,16.400000000000002,20.455000000000002,87.0,16.997899999999998,Spring,Mist,Evening,0,30.555555555555557,69.44444444444444
22,2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,16.400000000000002,20.455000000000002,87.0,12.998000000000001,Spring,Mist,Evening,0,8.823529411764707,91.17647058823529
23,2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,16.400000000000002,20.455000000000002,94.0,15.001299999999999,Spring,Mist,Evening,0,39.285714285714285,60.71428571428571
24,2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,18.86,22.725,88.0,19.999499999999998,Spring,Mist,Evening,0,38.46153846153847,61.53846153846154
25,2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,18.86,22.725,88.0,19.999499999999998,Spring,Mist,Night,0,23.52941176470588,76.47058823529412
26,2011-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,18.04,21.97,94.0,16.997899999999998,Spring,Mist,Night,0,5.88235294117647,94.11764705882352
27,2011-01-02,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,17.22,21.21,100.0,19.0012,Spring,Mist,Night,0,11.11111111111111,88.88888888888889
28,2011-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,18.86,22.725,94.0,12.998000000000001,Spring,Mist,Night,0,33.33333333333333,66.66666666666666
29,2011-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,18.86,22.725,94.0,12.998000000000001,Spring,Mist,Night,0,66.66666666666666,33.33333333333333
30,2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,17.22,21.21,77.0,19.999499999999998,Spring,Light Precip,Morning,0,0.0,100.0
31,2011-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,16.400000000000002,20.455000000000002,76.0,12.998000000000001,Spring,Mist,Morning,0,0.0,100.0
32,2011-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,16.400000000000002,20.455000000000002,71.0,15.001299999999999,Spring,Light Precip,Morning,0,0.0,100.0
33,2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,15.58,19.695,76.0,15.001299999999999,Spring,Mist,Morning,0,5.0,95.0
34,2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,14.76,17.424999999999997,81.0,15.001299999999999,Spring,Mist,Morning,0,13.20754716981132,86.79245283018868
35,2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,14.76,16.665,71.0,16.997899999999998,Spring,Mist,Morning,0,22.857142857142858,77.14285714285715
36,2011-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,14.76,16.665,66.0,19.999499999999998,Spring,Mist,Afternoon,0,21.50537634408602,78.49462365591397
37,2011-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,14.76,17.424999999999997,66.0,8.9981,Spring,Mist,Afternoon,0,14.666666666666666,85.33333333333334
38,2011-01-02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,14.76,17.424999999999997,76.0,12.998000000000001,Spring,Light Precip,Afternoon,0,6.779661016949152,93.22033898305084
39,2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,13.940000000000001,16.665,81.0,11.0014,Spring,Light Precip,Afternoon,0,25.675675675675674,74.32432432432432
40,2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,13.940000000000001,16.665,71.0,11.0014,Spring,Light Precip,Afternoon,0,11.842105263157894,88.1578947368421
41,2011-01-02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,13.940000000000001,16.665,56.99999999999999,12.998000000000001,Spring,Clear,Afternoon,0,10.76923076923077,89.23076923076924
42,2011-01-02,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,14.76,16.665,46.0,22.0028,Spring,Mist,Evening,0,18.867924528301888,81.13207547169812
43,2011-01-02,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,13.120000000000001,14.395,42.0,30.002599999999997,Spring,Clear,Evening,0,3.3333333333333335,96.66666666666667
44,2011-01-02,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,12.299999999999999,13.635,39.0,23.9994,Spring,Clear,Evening,0,22.727272727272727,77.27272727272727
45,2011-01-02,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,10.66,11.365,44.0,22.0028,Spring,Clear,Evening,0,35.483870967741936,64.51612903225806
46,2011-01-02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,9.84,10.605,44.0,19.999499999999998,Spring,Clear,Evening,0,0.0,100.0
47,2011-01-02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,9.02,11.365,47.0,11.0014,Spring,Clear,Evening,0,0.0,100.0
48,2011-01-03,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,9.02,9.85,44.0,23.9994,Spring,Clear,Night,0,0.0,100.0
49,2011-01-03,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,8.200000000000001,8.334999999999999,44.0,27.999299999999998,Spring,Clear,Night,0,0.0,100.0
50,2011-01-03,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,6.5600000000000005,6.819999999999999,47.0,26.0027,Spring,Clear,Night,0,0.0,100.0
51,2011-01-03,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,6.5600000000000005,6.819999999999999,47.0,19.0012,Spring,Clear,Night,0,0.0,100.0
52,2011-01-03,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,5.74,5.305,50.0,26.0027,Spring,Clear,Morning,0,0.0,100.0
53,2011-01-03,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,5.74,6.819999999999999,50.0,12.998000000000001,Spring,Clear,Morning,1,1.5625,98.4375
54,2011-01-03,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,5.74,6.0600000000000005,50.0,19.0012,Spring,Clear,Morning,1,0.6493506493506493,99.35064935064936
55,2011-01-03,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,6.5600000000000005,6.819999999999999,43.0,26.0027,Spring,Clear,Morning,1,7.954545454545454,92.04545454545455
56,2011-01-03,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,7.38,8.334999999999999,43.0,16.997899999999998,Spring,Clear,Morning,0,25.0,75.0
57,2011-01-03,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,8.200000000000001,9.09,40.0,22.0028,Spring,Clear,Morning,0,19.607843137254903,80.3921568627451
58,2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,9.02,10.605,35.0,19.999499999999998,Spring,Clear,Afternoon,0,21.311475409836063,78.68852459016394
59,2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,9.84,10.605,35.0,19.0012,Spring,Clear,Afternoon,0,13.114754098360656,86.88524590163934
60,2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,10.66,12.120000000000001,30.0,19.0012,Spring,Clear,Afternoon,0,14.285714285714285,85.71428571428571
61,2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,10.66,12.120000000000001,30.0,16.997899999999998,Spring,Clear,Afternoon,0,19.444444444444446,80.55555555555556
62,2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,10.66,12.120000000000001,30.0,16.997899999999998,Spring,Clear,Afternoon,0,11.842105263157894,88.1578947368421
63,2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,9.84,11.365,30.0,15.001299999999999,Spring,Clear,Afternoon,1,7.006369426751593,92.99363057324841
64,2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,9.84,12.879999999999999,32.0,7.0015,Spring,Clear,Evening,1,5.7324840764331215,94.26751592356688
65,2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,8.200000000000001,12.879999999999999,47.0,0.0,Spring,Clear,Evening,1,7.2727272727272725,92.72727272727272
66,2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,8.200000000000001,11.365,47.0,7.0015,Spring,Clear,Evening,0,5.769230769230769,94.23076923076923
67,2011-01-03,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,7.38,9.85,64.0,8.9981,Spring,Clear,Evening,0,5.769230769230769,94.23076923076923
68,2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,5.74,7.575,69.0,8.9981,Spring,Clear,Evening,0,0.0,100.0
69,2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,7.38,10.605,55.00000000000001,7.0015,Spring,Clear,Evening,0,8.333333333333332,91.66666666666666
70,2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,6.5600000000000005,9.09,55.00000000000001,7.0015,Spring,Clear,Night,0,0.0,100.0
71,2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,6.5600000000000005,9.09,59.0,7.0015,Spring,Clear,Night,0,0.0,100.0
72,2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,5.74,7.575,63.0,8.9981,Spring,Clear,Night,0,0.0,100.0
73,2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,5.74,9.09,63.0,6.0032,Spring,Clear,Night,0,0.0,100.0
74,2011-01-04,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,4.92,7.575,68.0,7.0015,Spring,Clear,Night,0,0.0,100.0
75,2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,4.92,7.575,74.0,7.0015,Spring,Clear,Morning,0,0.0,100.0
76,2011-01-04,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,4.92,7.575,74.0,8.9981,Spring,Clear,Morning,1,2.127659574468085,97.87234042553192
77,2011-01-04,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,5.74,7.575,69.0,11.0014,Spring,Clear,Morning,1,1.1173184357541899,98.88268156424581
78,2011-01-04,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,6.5600000000000005,7.575,64.0,15.001299999999999,Spring,Clear,Morning,1,2.0,98.0
79,2011-01-04,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,6.5600000000000005,6.819999999999999,69.0,22.0028,Spring,Mist,Morning,0,11.904761904761903,88.09523809523809
80,2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,9.02,10.605,51.0,19.999499999999998,Spring,Clear,Morning,0,12.280701754385964,87.71929824561403
81,2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,9.02,11.365,51.0,11.0014,Spring,Clear,Afternoon,0,15.384615384615385,84.61538461538461
82,2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,9.84,11.365,56.00000000000001,12.998000000000001,Spring,Clear,Afternoon,0,18.556701030927837,81.44329896907216
83,2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,10.66,12.879999999999999,52.0,15.001299999999999,Spring,Clear,Afternoon,0,14.285714285714285,85.71428571428571
84,2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,11.48,13.635,52.0,16.997899999999998,Spring,Clear,Afternoon,0,26.153846153846157,73.84615384615385
85,2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,12.299999999999999,14.395,49.0,16.997899999999998,Spring,Clear,Afternoon,0,18.072289156626507,81.92771084337349
86,2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,11.48,13.635,48.0,15.001299999999999,Spring,Clear,Afternoon,1,4.716981132075472,95.28301886792453
87,2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,10.66,12.879999999999999,48.0,12.998000000000001,Spring,Clear,Evening,1,1.6483516483516485,98.35164835164835
88,2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,9.84,12.879999999999999,48.0,7.0015,Spring,Clear,Evening,1,1.7857142857142856,98.21428571428571
89,2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,9.84,12.879999999999999,48.0,7.0015,Spring,Clear,Evening,0,1.8518518518518516,98.14814814814815
90,2011-01-04,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,9.02,13.635,64.0,0.0,Spring,Clear,Evening,0,0.0,100.0
91,2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,9.02,12.879999999999999,64.0,6.0032,Spring,Clear,Evening,0,2.857142857142857,97.14285714285714
92,2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,8.200000000000001,11.365,69.0,6.0032,Spring,Clear,Evening,0,18.181818181818183,81.81818181818183
93,2011-01-05,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,8.200000000000001,12.879999999999999,64.0,0.0,Spring,Clear,Night,0,0.0,100.0
94,2011-01-05,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,6.5600000000000005,9.85,74.0,6.0032,Spring,Clear,Night,0,0.0,100.0
95,2011-01-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,6.5600000000000005,9.85,74.0,6.0032,Spring,Clear,Night,0,0.0,100.0
96,2011-01-05,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,9.84,11.365,48.0,15.001299999999999,Spring,Clear,Night,0,0.0,100.0
97,2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,9.02,11.365,47.0,11.0014,Spring,Clear,Night,0,0.0,100.0
98,2011-01-05,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,8.200000000000001,9.85,47.0,15.001299999999999,Spring,Clear,Morning,0,0.0,100.0
99,2011-01-05,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,7.38,9.09,43.0,12.998000000000001,Spring,Clear,Morning,1,1.1363636363636365,98.86363636363636
100,2011-01-05,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,8.200000000000001,9.09,40.0,19.999499999999998,Spring,Clear,Morning,1,1.5384615384615385,98.46153846153847
101,2011-01-05,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,9.02,9.85,37.0,22.0028,Spring,Clear,Morning,1,5.217391304347826,94.78260869565217
102,2011-01-05,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,9.02,9.85,37.0,22.0028,Spring,Clear,Morning,0,7.017543859649122,92.98245614035088
103,2011-01-05,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,10.66,11.365,33.0,22.0028,Spring,Clear,Morning,0,26.08695652173913,73.91304347826086
104,2011-01-05,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,10.66,11.365,33.0,22.0028,Spring,Clear,Afternoon,0,6.329113924050633,93.67088607594937
105,2011-01-05,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,11.48,12.879999999999999,30.0,19.999499999999998,Spring,Clear,Afternoon,0,8.450704225352112,91.54929577464789
106,2011-01-05,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,12.299999999999999,14.395,28.000000000000004,12.998000000000001,Spring,Clear,Afternoon,0,16.129032258064516,83.87096774193549
107,2011-01-05,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,12.299999999999999,14.395,28.000000000000004,12.998000000000001,Spring,Clear,Afternoon,0,11.29032258064516,88.70967741935483
108,2011-01-05,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,12.299999999999999,15.909999999999998,28.000000000000004,6.0032,Spring,Clear,Afternoon,0,4.49438202247191,95.50561797752809
109,2011-01-05,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,9.84,11.365,38.0,12.998000000000001,Spring,Clear,Afternoon,1,2.1052631578947367,97.89473684210527
110,2011-01-05,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,9.84,12.120000000000001,38.0,8.9981,Spring,Clear,Evening,1,1.7751479289940828,98.22485207100591
111,2011-01-05,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,9.84,12.879999999999999,38.0,7.0015,Spring,Clear,Evening,1,3.787878787878788,96.21212121212122
112,2011-01-05,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,9.02,11.365,47.0,11.0014,Spring,Clear,Evening,0,7.865168539325842,92.13483146067416
113,2011-01-05,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,8.200000000000001,9.85,51.0,12.998000000000001,Spring,Clear,Evening,0,6.976744186046512,93.02325581395348
114,2011-01-05,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,7.38,9.85,55.00000000000001,8.9981,Spring,Clear,Evening,0,2.380952380952381,97.61904761904762
115,2011-01-05,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,8.200000000000001,12.879999999999999,47.0,0.0,Spring,Clear,Evening,0,5.263157894736842,94.73684210526315
116,2011-01-06,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,7.38,12.120000000000001,55.00000000000001,0.0,Spring,Clear,Night,0,0.0,100.0
117,2011-01-06,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,6.5600000000000005,11.365,64.0,0.0,Spring,Clear,Night,0,0.0,100.0
118,2011-01-06,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,6.5600000000000005,11.365,64.0,0.0,Spring,Clear,Night,0,0.0,100.0
119,2011-01-06,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,6.5600000000000005,9.85,64.0,6.0032,Spring,Mist,Night,0,0.0,100.0
120,2011-01-06,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,5.74,9.09,69.0,6.0032,Spring,Mist,Night,0,0.0,100.0
121,2011-01-06,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,5.74,8.334999999999999,63.0,7.0015,Spring,Mist,Morning,0,0.0,100.0
122,2011-01-06,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,6.5600000000000005,11.365,59.0,0.0,Spring,Mist,Morning,1,0.0,100.0
123,2011-01-06,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,6.5600000000000005,11.365,59.0,0.0,Spring,Clear,Morning,1,1.36986301369863,98.63013698630137
124,2011-01-06,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,7.38,12.120000000000001,51.0,0.0,Spring,Mist,Morning,1,4.918032786885246,95.08196721311475
125,2011-01-06,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,8.200000000000001,12.879999999999999,47.0,0.0,Spring,Clear,Morning,0,6.666666666666667,93.33333333333333
126,2011-01-06,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,9.02,12.879999999999999,44.0,6.0032,Spring,Clear,Morning,0,3.389830508474576,96.61016949152543
127,2011-01-06,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,10.66,14.395,35.0,0.0,Spring,Clear,Afternoon,0,7.142857142857142,92.85714285714286
128,2011-01-06,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,10.66,13.635,35.0,7.0015,Spring,Clear,Afternoon,0,17.91044776119403,82.08955223880598
129,2011-01-06,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,11.48,13.635,36.0,11.0014,Spring,Clear,Afternoon,0,15.714285714285714,84.28571428571429
130,2011-01-06,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62,11.48,13.635,36.0,0.0,Spring,Clear,Afternoon,0,12.903225806451612,87.09677419354838
131,2011-01-06,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,10.66,12.879999999999999,38.0,11.0014,Spring,Clear,Afternoon,0,13.953488372093023,86.04651162790698
132,2011-01-06,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,9.02,11.365,51.0,11.0014,Spring,Clear,Afternoon,1,5.232558139534884,94.76744186046511
133,2011-01-06,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,9.02,11.365,51.0,8.9981,Spring,Clear,Evening,1,3.067484662576687,96.93251533742331
134,2011-01-06,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,9.02,12.879999999999999,55.00000000000001,6.0032,Spring,Clear,Evening,1,2.6785714285714284,97.32142857142857
135,2011-01-06,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,8.200000000000001,10.605,51.0,11.0014,Spring,Clear,Evening,0,4.3478260869565215,95.65217391304348
136,2011-01-06,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,9.02,10.605,55.00000000000001,15.001299999999999,Spring,Mist,Evening,0,0.0,100.0
137,2011-01-06,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,9.02,10.605,51.0,19.0012,Spring,Mist,Evening,0,1.9230769230769231,98.07692307692307
138,2011-01-06,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,8.200000000000001,9.85,59.0,12.998000000000001,Spring,Mist,Evening,0,17.391304347826086,82.6086956521739
139,2011-01-07,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,8.200000000000001,9.85,64.0,12.998000000000001,Spring,Mist,Night,0,23.52941176470588,76.47058823529412
140,2011-01-07,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,8.200000000000001,9.85,69.0,15.001299999999999,Spring,Mist,Night,0,28.57142857142857,71.42857142857143
141,2011-01-07,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,8.200000000000001,9.85,69.0,15.001299999999999,Spring,Mist,Night,0,0.0,100.0
