instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,is_anomaly,temp_c,atemp_c,hum_pct,windspeed_kmh,season_lbl,weather_lbl,casual_share,registered_share
42,2011-02-11,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,149,1597,1746,0,7.752731000000001,10.67545,50.6364,7.272849999999999,Spring,Clear,8.533791523482245,91.46620847651775
43,2011-02-12,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,288,1184,1472,0,9.1225,11.6477,54.4167,13.625589,Spring,Clear,19.565217391304348,80.43478260869566
44,2011-02-13,1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,397,1192,1589,0,12.977402000000001,16.20565,45.7391,17.479160999999998,Spring,Clear,24.984266834487098,75.0157331655129
45,2011-02-14,1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,208,1705,1913,0,17.015,19.9175,37.583299999999994,27.999836,Spring,Clear,10.872974385781495,89.1270256142185
46,2011-02-15,1,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,140,1675,1815,0,10.909567000000001,12.7137,31.434800000000003,19.522058,Spring,Clear,7.7134986225895315,92.28650137741047
47,2011-02-16,1,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,218,1897,2115,0,13.048701000000001,15.809999999999999,42.3478,16.869996999999998,Spring,Clear,10.307328605200945,89.69267139479905
48,2011-02-17,1,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,259,2216,2475,0,17.869153,21.4329,50.5,15.416968,Spring,Clear,10.464646464646464,89.53535353535354
49,2011-02-18,1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,579,2348,2927,0,21.388347,25.599149999999998,51.6667,17.749975000000003,Spring,Clear,19.781346088144858,80.21865391185514
50,2011-02-19,1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,532,1103,1635,0,16.365847,19.5702,18.7917,34.000021,Spring,Clear,32.53822629969419,67.4617737003058
51,2011-02-20,1,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,639,1173,1812,0,11.693897,13.8665,40.7826,14.956745,Spring,Clear,35.264900662251655,64.73509933774835
52,2011-02-21,1,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,195,912,1107,0,12.436653000000002,14.203750000000001,60.5,20.625682,Spring,Mist,17.615176151761517,82.38482384823848
53,2011-02-22,1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,74,1376,1450,0,7.471102,9.30165,57.7778,13.110761,Spring,Clear,5.103448275862069,94.89655172413794
54,2011-02-23,1,0,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,139,1778,1917,0,9.091299,12.28585,42.3043,6.3055710000000005,Spring,Clear,7.250912884715702,92.7490871152843
55,2011-02-24,1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,100,1707,1807,0,12.121732000000002,14.459549999999998,69.7391,16.783231999999998,Spring,Mist,5.534034311012729,94.46596568898727
56,2011-02-25,1,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,120,1341,1461,0,14.938268,17.52305,71.2174,23.218113,Spring,Mist,8.213552361396303,91.78644763860369
57,2011-02-26,1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,424,1545,1969,0,11.5825,14.1096,53.7917,12.500257,Spring,Clear,21.53377348908075,78.46622651091924
58,2011-02-27,1,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,694,1708,2402,0,14.082598,17.55545,68.0,8.391615999999999,Spring,Clear,28.892589508742716,71.10741049125728
59,2011-02-28,1,0,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,81,1365,1446,0,16.698193,20.005899999999997,87.63640000000001,19.408962,Spring,Mist,5.601659751037345,94.39834024896265
60,2011-03-01,1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,137,1714,1851,0,10.933347,13.19395,53.5,14.500475,Spring,Clear,7.401404646137223,92.59859535386278
61,2011-03-02,1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,231,1903,2134,0,13.735000000000001,16.00355,44.9583,20.624811,Spring,Clear,10.824742268041238,89.17525773195877
62,2011-03-03,1,0,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,123,1562,1685,0,8.131653,10.00665,31.833299999999998,15.125518000000001,Spring,Clear,7.299703264094956,92.70029673590504
63,2011-03-04,1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214,1730,1944,0,10.728347,12.783949999999999,61.0417,13.624182,Spring,Mist,11.008230452674898,88.9917695473251
64,2011-03-05,1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640,1437,2077,0,15.750846999999998,18.93895,78.91669999999999,16.875357,Spring,Mist,30.813673567645644,69.18632643235436
65,2011-03-06,1,0,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,114,491,605,0,15.437402,18.3126,94.8261,23.000229,Spring,Mist,18.84297520661157,81.15702479338843
66,2011-03-07,1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244,1628,1872,0,10.731299,11.92305,55.1304,22.870584,Spring,Clear,13.034188034188036,86.96581196581197
67,2011-03-08,1,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316,1817,2133,0,11.9925,15.120000000000001,42.0833,8.083549999999999,Spring,Clear,14.814814814814813,85.18518518518519
68,2011-03-09,1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191,1700,1891,0,12.129153,14.3304,77.5417,14.750050000000002,Spring,Mist,10.100475938656796,89.8995240613432
69,2011-03-10,1,0,3,0,4,1,3,0.389091,0.385668,0.0,0.261877,46,577,623,0,15.952731,19.2834,0.0,17.545759,Spring,Light Precip,7.3836276083467105,92.61637239165329
70,2011-03-11,1,0,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,247,1730,1977,0,12.977402000000001,15.25,64.95649999999999,15.60899,Spring,Mist,12.493677288821447,87.50632271117856
71,2011-03-12,1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724,1408,2132,0,13.495847,16.287499999999998,59.458299999999994,14.791924999999999,Spring,Clear,33.95872420262664,66.04127579737336
72,2011-03-13,1,0,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,982,1435,2417,0,15.758268000000001,19.004550000000002,52.73910000000001,18.130468,Spring,Clear,40.628878775341335,59.371121224658665
73,2011-03-14,1,0,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,359,1687,2046,0,13.333896999999999,16.6,49.695699999999995,9.174042,Spring,Clear,17.546432062561095,82.4535679374389
74,2011-03-15,1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289,1767,2056,0,13.013031,15.908900000000001,65.5652,12.348703,Spring,Mist,14.056420233463035,85.94357976653697
75,2011-03-16,1,0,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,321,1871,2192,0,14.973897000000001,18.3465,77.65220000000001,13.608839,Spring,Mist,14.644160583941607,85.3558394160584
76,2011-03-17,1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,424,2320,2744,0,17.015,20.51665,60.291700000000006,14.041792999999998,Spring,Clear,15.451895043731778,84.54810495626822
77,2011-03-18,1,0,3,0,5,1,1,0.54,0.527009,0.525217,0.231017,884,2355,3239,0,22.14,26.35045,52.5217,15.478139,Spring,Clear,27.292374189564683,72.70762581043532
78,2011-03-19,1,0,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,1424,1693,3117,0,19.3725,23.32625,37.9167,24.667189,Spring,Clear,45.68495348091113,54.315046519088874
79,2011-03-20,1,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.207721,1047,1424,2471,0,13.6325,16.287499999999998,47.375,13.917307,Spring,Clear,42.37150951031971,57.628490489680296
80,2011-03-21,2,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,401,1676,2077,0,17.647835,20.48675,73.73910000000001,19.348461,Summer,Mist,19.306692344727974,80.69330765527202
81,2011-03-22,2,0,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,460,2243,2703,0,18.108347,22.0321,62.4583,15.125250000000001,Summer,Clear,17.01812800591935,82.98187199408065
82,2011-03-23,2,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,203,1918,2121,0,14.225237,16.89695,83.9565,15.695487,Summer,Mist,9.570957095709572,90.42904290429043
83,2011-03-24,2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,166,1699,1865,0,11.684999999999999,13.541649999999999,80.58330000000001,16.333729,Summer,Mist,8.900804289544235,91.09919571045576
84,2011-03-25,2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,300,1910,2210,0,10.830846999999999,12.8156,49.5,15.458575000000002,Summer,Clear,13.574660633484163,86.42533936651584
85,2011-03-26,2,0,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,981,1515,2496,0,10.899153,12.87855,39.4167,14.041257,Summer,Clear,39.30288461538461,60.69711538461539
86,2011-03-27,2,0,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,472,1221,1693,0,10.374763000000002,12.51695,49.3913,12.348099999999999,Summer,Mist,27.879503839338454,72.12049616066155
87,2011-03-28,2,0,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204,222,1806,2028,0,10.838268000000001,12.878700000000002,30.2174,14.217668,Summer,Clear,10.946745562130179,89.05325443786982
88,2011-03-29,2,0,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996,317,2108,2425,0,12.4025,14.6454,31.4167,15.208732,Summer,Clear,13.072164948453608,86.92783505154638
89,2011-03-30,2,0,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,168,1368,1536,0,12.299999999999999,14.8675,64.6667,11.583495999999998,Summer,Mist,10.9375,89.0625
90,2011-03-31,2,0,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,179,1506,1685,0,11.001653,12.87875,91.8333,14.582282000000001,Summer,Light Precip,10.623145400593472,89.37685459940653
91,2011-04-01,2,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,307,1920,2227,0,12.299999999999999,14.172699999999999,68.625,17.333436,Summer,Mist,13.785361472833408,86.21463852716658
92,2011-04-02,2,0,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,898,1354,2252,0,12.915000000000001,15.78185,65.375,13.208782,Summer,Mist,39.87566607460036,60.12433392539964
93,2011-04-03,2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651,1598,3249,0,15.511652999999999,18.93835,48.0,12.208271000000002,Summer,Clear,50.81563558017852,49.184364419821485
94,2011-04-04,2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,734,2381,3115,0,23.506653,27.14645,42.625,25.833257,Summer,Clear,23.563402889245584,76.4365971107544
95,2011-04-05,2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,167,1628,1795,0,16.980847,19.9175,64.2083,26.000488999999998,Summer,Mist,9.303621169916434,90.69637883008357
96,2011-04-06,2,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,413,2395,2808,0,16.024153,19.3804,47.0833,17.625221,Summer,Clear,14.707977207977208,85.29202279202279
97,2011-04-07,2,0,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312,571,2570,3141,0,17.9375,21.684800000000003,60.291700000000006,10.874904,Summer,Clear,18.178923909582938,81.82107609041707
98,2011-04-08,2,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,172,1299,1471,0,13.769153,16.223950000000002,83.625,15.208464,Summer,Mist,11.692726036709722,88.30727396329027
99,2011-04-09,2,0,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083,879,1576,2455,0,14.0425,17.07645,87.75,8.916561,Summer,Mist,35.80448065173116,64.19551934826883
100,2011-04-10,2,0,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,1188,1707,2895,0,17.493347,21.33685,85.75,9.833389,Summer,Mist,41.03626943005182,58.96373056994819
101,2011-04-11,2,0,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,855,2493,3348,0,24.421732,28.260849999999998,71.6956,21.739758,Summer,Mist,25.537634408602152,74.46236559139786
102,2011-04-12,2,0,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,257,1777,2034,0,20.6025,24.6527,73.9167,18.416892999999998,Summer,Mist,12.63520157325467,87.36479842674532
103,2011-04-13,2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,209,1953,2162,0,16.912499999999998,20.864150000000002,81.91669999999999,16.791338999999997,Summer,Mist,9.666975023126735,90.33302497687326
104,2011-04-14,2,0,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,529,2738,3267,0,19.1675,23.1371,54.041700000000006,7.4169,Summer,Clear,16.192225283134373,83.80777471686562
105,2011-04-15,2,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,642,2484,3126,0,18.313347,22.09565,67.125,15.167124999999999,Summer,Clear,20.537428023032632,79.46257197696737
106,2011-04-16,2,0,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,121,674,795,0,17.664153000000002,21.2746,88.83330000000001,22.834136,Summer,Light Precip,15.220125786163521,84.77987421383648
107,2011-04-17,2,0,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,1558,2186,3744,0,18.723347,22.2848,47.9583,20.334232,Summer,Clear,41.613247863247864,58.38675213675214
108,2011-04-18,2,0,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,669,2760,3429,0,21.0125,25.1573,54.25,10.958988999999999,Summer,Clear,19.510061242344705,80.4899387576553
109,2011-04-19,2,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,409,2795,3204,0,20.739152999999998,24.4629,66.5833,10.584057,Summer,Mist,12.765293383270912,87.23470661672908
110,2011-04-20,2,0,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,613,3331,3944,0,24.395,28.2196,61.4167,16.208975,Summer,Clear,15.542596348884382,84.45740365111561
111,2011-04-21,2,0,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,745,3444,4189,0,18.825847,22.6946,40.708299999999994,21.792286,Summer,Clear,17.78467414657436,82.21532585342564
112,2011-04-22,2,0,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,177,1506,1683,0,13.803347,16.0977,72.9583,14.707906999999999,Summer,Mist,10.51693404634581,89.48306595365419
113,2011-04-23,2,0,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,1462,2574,4036,0,18.86,22.50605,88.79169999999999,15.458575000000002,Summer,Mist,36.22398414271556,63.77601585728444
114,2011-04-24,2,0,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,1710,2481,4191,0,23.848347,27.58815,81.08330000000001,12.875725000000001,Summer,Mist,40.8017179670723,59.19828203292771
115,2011-04-25,2,0,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,773,3300,4073,0,24.873347,28.725,77.6667,12.417311,Summer,Clear,18.978639823226125,81.02136017677388
116,2011-04-26,2,0,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,678,3722,4400,0,25.898346999999998,29.704150000000002,72.9167,21.875500000000002,Summer,Clear,15.409090909090908,84.5909090909091
117,2011-04-27,2,0,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,547,3325,3872,0,25.419999999999998,28.7571,83.54169999999999,20.917399999999997,Summer,Mist,14.12706611570248,85.87293388429752
118,2011-04-28,2,0,4,0,4,1,2,0.6175,0.578929,0.700833,0.320908,569,3489,4058,0,25.317500000000003,28.946450000000002,70.08330000000001,21.500836000000003,Summer,Mist,14.02168555938886,85.97831444061114
119,2011-04-29,2,0,4,0,5,1,1,0.51,0.497463,0.457083,0.240063,878,3717,4595,0,20.91,24.87315,45.7083,16.084221,Summer,Clear,19.10772578890098,80.89227421109902
120,2011-04-30,2,0,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,1965,3347,5312,0,19.3725,23.201050000000002,50.3333,15.750025,Summer,Clear,36.99171686746988,63.00828313253012
121,2011-05-01,2,0,5,0,0,0,2,0.451667,0.448204,0.762083,0.106354,1138,2213,3351,0,18.518347,22.4102,76.2083,7.125718,Summer,Mist,33.9600119367353,66.0399880632647
122,2011-05-02,2,0,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,847,3554,4401,0,22.515846999999997,26.64165,73.0,12.291418,Summer,Mist,19.24562599409225,80.75437400590775
123,2011-05-03,2,0,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,603,3848,4451,0,25.283347,29.10395,69.7083,22.958689,Summer,Mist,13.54751741181757,86.45248258818243
124,2011-05-04,2,0,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,255,2378,2633,0,16.980847,20.2325,73.70830000000001,22.042732,Summer,Mist,9.684770224078997,90.315229775921
125,2011-05-05,2,0,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,614,3819,4433,0,18.825847,22.09585,44.4167,19.791263999999998,Summer,Clear,13.85066546356869,86.14933453643131
126,2011-05-06,2,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,894,3714,4608,0,19.645847,23.70585,59.0,15.292482,Summer,Clear,19.401041666666664,80.59895833333334
127,2011-05-07,2,0,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,1612,3102,4714,0,21.32,25.63105,54.125,10.750150000000001,Summer,Clear,34.19601187950785,65.80398812049215
128,2011-05-08,2,0,5,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333,0,21.661653,25.946649999999998,63.1667,5.0007125,Summer,Clear,32.3332564043388,67.6667435956612
129,2011-05-09,2,0,5,0,1,1,1,0.5325,0.525246,0.58875,0.176,664,3698,4362,0,21.8325,26.2623,58.875,11.792,Summer,Clear,15.222375057313158,84.77762494268684
130,2011-05-10,2,0,5,0,2,1,1,0.5325,0.522721,0.489167,0.115671,694,4109,4803,0,21.8325,26.13605,48.9167,7.749956999999999,Summer,Clear,14.449302519258797,85.5506974807412
131,2011-05-11,2,0,5,0,3,1,1,0.5425,0.5284,0.632917,0.120642,550,3632,4182,0,22.2425,26.419999999999998,63.29169999999999,8.083014,Summer,Clear,13.151602104256337,86.84839789574367
132,2011-05-12,2,0,5,0,4,1,1,0.535,0.523363,0.7475,0.189667,695,4169,4864,0,21.935000000000002,26.16815,74.75,12.707689,Summer,Clear,14.288651315789474,85.71134868421053
133,2011-05-13,2,0,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725,692,3413,4105,0,21.0125,24.715,86.33330000000001,12.041575,Summer,Mist,16.857490864799026,83.14250913520097
134,2011-05-14,2,0,5,0,6,0,2,0.520833,0.500629,0.9225,0.13495,902,2507,3409,0,21.354153,25.03145,92.25,9.041649999999999,Summer,Mist,26.459372249926666,73.54062775007334
135,2011-05-15,2,0,5,0,0,0,2,0.5625,0.536,0.867083,0.152979,1582,2971,4553,0,23.0625,26.8,86.70830000000001,10.249593,Summer,Mist,34.74632110696244,65.25367889303756
136,2011-05-16,2,0,5,0,1,1,1,0.5775,0.550512,0.787917,0.126871,773,3185,3958,0,23.677500000000002,27.5256,78.79169999999999,8.500357000000001,Summer,Clear,19.530065689742294,80.46993431025771
137,2011-05-17,2,0,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,678,3445,4123,0,23.028347,26.926450000000003,83.7917,18.582718,Summer,Mist,16.444336648071793,83.55566335192822
